codigo_inep,nome_escola,tipo_escola
11000058,CENTRO DE ENSINO CLASSE A,Privada
11000198,COLEGIO SAPIENS - UNIDADE JARDIM DAS MANGUEIRAS,Privada
11000252,COLEGIO SAPIENS - UNIDADE JARDIM AMERICA,Privada
11000260,COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM I,Pública
11000350,COLEGIO ADVENTISTA DE PORTO VELHO,Privada
11000384,EEEFM 4 DE JANEIRO,Pública
11000457,EEEFM PROFESSORA ANTONIA VIEIRA FROTA,Pública
11000554,EEEFM BANDEIRANTES,Pública
11000678,EEEMTI BRASILIA,Pública
11000708,EEEFM CAP CLAUDIO MANOEL DA COSTA,Pública
11000856,EEEFM PROFESSOR DANIEL NERI DA SILVA - CIVICO-MILITAR,Pública
11000880,CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO,Privada
11001046,EEEFM ESTUDO E TRABALHO,Pública
11001119,EEEFM GOV ARAUJO LIMA,Pública
11001135,COLEGIO MILITAR DOM PEDRO II - CMDP II - UNIDADE I,Pública
11001143,EEEFM GOV JESUS BURLAMAQUI HOSANNAH,Pública
11001283,EEEFM JOHN KENNEDY,Pública
11001305,EEEFM JORGE TEIXEIRA DE OLIVEIRA,Pública
11001410,COLEGIO TIRADENTES DA POLICIA MILITAR CTPM VII,Pública
11001496,EEEFM MARCOS DE BARROS FREIRE,Pública
11001550,EEEFM MARIANA,Pública
11001640,EEEFM MURILO BRAGA,Pública
11002018,EEEFM PROF FLORA CALHEIROS COTRIN,Pública
11002123,EEEFM RISOLETA NEVES,Pública
11002468,EEEFM BARAO DO SOLIMOES,Pública
11002476,EEEFM GETULIO VARGAS - CIVICO-MILITAR,Pública
11002484,EEEM MAJOR GUAPINDAIA,Pública
11002506,EEEFM MARECHAL CASTELO BRANCO,Pública
11002514,EEEFM PROF ORLANDO FREIRE,Pública
11002522,EEEFM PROF EDUARDO LIMA E SILVA,Pública
11002549,EEEFM RIO BRANCO,Pública
11003065,IEE CARMELA DUTRA,Pública
11003081,INSTITUTO LAURA VICUNA,Privada
11003090,INSTITUTO MARIA AUXILIADORA,Privada
11003413,EEEFM GENERAL OSORIO,Pública
11003979,EEEFM CASIMIRO DE ABREU,Pública
11004274,EEEFM PROFESSOR SALOMAO SILVA,Pública
11004347,EEEFM 15 DE OUTUBRO,Pública
11004428,EEEFM BURITI,Pública
11005041,EEEFM CARLOS DRUMMOND DE ANDRADE,Pública
11005360,EEEFM PAULO FREIRE,Pública
11005475,EEEFM CAMPOS SALES,Pública
11005823,EEEFM ANGELINA DOS ANJOS,Pública
11005939,COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM X,Pública
11006013,CEEJA DR CLAUDIO FIALHO,Pública
11006617,EEEFM IRMA MARIA CELESTE - CIVICO-MILITAR,Pública
11006633,EEEFM ROCHA LEAL,Pública
11006641,EEEMTI SIMON BOLIVAR,Pública
11006773,EEEFM CORA CORALINA,Pública
11006889,EEEFM ANISIO TEIXEIRA,Pública
11007168,COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM III,Pública
