inep_nome,competencia_redacao_media,ano
11000058-CENTRO DE ENSINO CLASSE A,1588.4444444444443,2024
11000198-COLEGIO SAPIENS - UNIDADE JARDIM DAS MANGUEIRAS,1434.0425531914898,2024
11000252-COLEGIO SAPIENS - UNIDADE JARDIM AMERICA,1435.2941176470588,2024
11000260-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM I,1517.5,2024
11000350-COLEGIO ADVENTISTA DE PORTO VELHO,1542.5,2024
11000384-EEEFM 4 DE JANEIRO,1137.3333333333337,2024
11000457-EEEFM PROFESSORA ANTONIA VIEIRA FROTA,1114.6666666666667,2024
11000554-EEEFM BANDEIRANTES,1262.5,2024
11000678-EEEMTI BRASILIA,1335.6097560975609,2024
11000708-EEEFM CAP CLAUDIO MANOEL DA COSTA,1238.7301587301588,2024
11000856-EEEFM PROFESSOR DANIEL NERI DA SILVA - CIVICO-MILITAR,1210.4347826086957,2024
11000880-CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO,1585.0746268656719,2024
11001046-EEEFM ESTUDO E TRABALHO,1160,2024
11001119-EEEFM GOV ARAUJO LIMA,1198.4313725490194,2024
11001135-COLEGIO MILITAR DOM PEDRO II - CMDP II - UNIDADE I,1429.2682926829266,2024
11001143-EEEFM GOV JESUS BURLAMAQUI HOSANNAH,1132.5,2024
11001283-EEEFM JOHN KENNEDY,1251.8918918918916,2024
11001305-EEEFM JORGE TEIXEIRA DE OLIVEIRA,1223.030303030303,2024
11001410-COLEGIO TIRADENTES DA POLICIA MILITAR CTPM VII,1335.2380952380952,2024
11001496-EEEFM MARCOS DE BARROS FREIRE,1112,2024
11001550-EEEFM MARIANA,1141.2244897959185,2024
11001640-EEEFM MURILO BRAGA,1363.8554216867471,2024
11002018-EEEFM PROF FLORA CALHEIROS COTRIN,1315.7894736842106,2024
11002123-EEEFM RISOLETA NEVES,1184.4295302013422,2024
11002468-EEEFM BARAO DO SOLIMOES,1451.5555555555557,2024
11002476-EEEFM GETULIO VARGAS - CIVICO-MILITAR,1061.1111111111111,2024
11002484-EEEM MAJOR GUAPINDAIA,1453.7499999999995,2024
11002506-EEEFM MARECHAL CASTELO BRANCO,1254.6153846153848,2024
11002514-EEEFM PROF ORLANDO FREIRE,1177.1428571428569,2024
11002522-EEEFM PROF EDUARDO LIMA E SILVA,1240.5263157894738,2024
11002549-EEEFM RIO BRANCO,1154.0740740740739,2024
11003065-IEE CARMELA DUTRA,1286.5306122448981,2024
11003081-INSTITUTO LAURA VICUNA,1486.25,2024
11003090-INSTITUTO MARIA AUXILIADORA,1527.3684210526314,2024
11003413-EEEFM GENERAL OSORIO,1155.5555555555554,2024
11003979-EEEFM CASIMIRO DE ABREU,1118.2608695652175,2024
11004274-EEEFM PROFESSOR SALOMAO SILVA,1131.25,2024
11004347-EEEFM 15 DE OUTUBRO,1135.6521739130433,2024
11004428-EEEFM BURITI,1403.3333333333333,2024
11005041-EEEFM CARLOS DRUMMOND DE ANDRADE,1110.3225806451615,2024
11005360-EEEFM PAULO FREIRE,1155,2024
11005475-EEEFM CAMPOS SALES,1349.9999999999998,2024
11005823-EEEFM ANGELINA DOS ANJOS,1160,2024
11005939-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM X,1261.1428571428569,2024
11006013-CEEJA DR CLAUDIO FIALHO,1014.5454545454545,2024
11006617-EEEFM IRMA MARIA CELESTE - CIVICO-MILITAR,1235.5555555555557,2024
11006633-EEEFM ROCHA LEAL,1102.9787234042556,2024
11006641-EEEMTI SIMON BOLIVAR,1308.5714285714287,2024
11006773-EEEFM CORA CORALINA,1142.5000000000002,2024
11006889-EEEFM ANISIO TEIXEIRA,1214.457831325301,2024
11007168-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM III,1307.6923076923074,2024
11007656-COLEGIO DINAMICO EDUCACAO BASICA,1601.1764705882351,2024
11007885-EEEMTI HEITOR VILLA LOBOS,1556.9565217391305,2024
11007893-EEEFM RICARDO CANTANHEDE,1406.8965517241381,2024
11008105-EEEFM BARTOLOMEU LOURENCO DE GUSMAO,1443.75,2024
11009152-EEEFM ANTONIO FRANCISCO LISBOA,1169.7142857142858,2024
11009306-EEEFM FRANCISCO MIGNONE,1148.8888888888889,2024
11009888-EEEFM LAURINDO RABELO,1134.4680851063829,2024
11010290-EEEFM FREI HENRIQUE DE COIMBRA,1272.7272727272727,2024
11010665-EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA,1286.376811594203,2024
11011661-EEEFM PROF DAYSE MARA DE OLIVEIRA MARTINS,1305.7142857142856,2024
11012447-EEEFM OLGA DELLAIA,1210,2024
11012579-EEEFM PEDRO VIEIRA DE MELO,1225.2631578947369,2024
11012684-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XIII,1234.5945945945948,2024
11012994-EEEFM PLACIDO DE CASTRO,1305.4054054054054,2024
11013737-COLEGIO ADVENTISTA DE JI-PARANA,1458.8888888888889,2024
11014156-EEEFM JANETE CLAIR,1151.272727272727,2024
11014300-EEEFM JUSCELINO KUBITSCHEK DE OLIVEIRA,1085.9999999999998,2024
11014431-EEEFM MARCOS BISPO DA SILVA,1258.4,2024
11015500-EEEFM TUPA,1288.5714285714287,2024
11015608-EEEFM ALUIZIO FERREIRA,1428.75,2024
11015624-EEEFM GONCALVES DIAS,1326.0215053763441,2024
11015632-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM IV,1386.666666666667,2024
11015667-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM VI,1277.6470588235291,2024
11015683-EEEFM PROF JOSE FRANCISCO DOS SANTOS,1220.0000000000002,2024
11015896-ESCOLA FAMILIA AGRICOLA ITAPIREMA,1475,2024
11016094-IEE MARECHAL RONDON,1290.2857142857144,2024
11017120-EEEFM MARIA GORETTI,1301.5384615384617,2024
11017384-EEEFM PIONEIRA,1248,2024
11017422-EEEFM MARIA DE MATOS E SILVA,1434.6666666666665,2024
11017775-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XII,1395.7894736842104,2024
11017791-EEEFM JOAQUIM DE LIMA AVELINO,1222.1686746987948,2024
11018089-EEEFM CARLOS DRUMOND DE ANDRADE,1376.2711864406781,2024
11018267-EEEFM EMBURANA,1152,2024
11018810-EEEFM PROFESSOR PAULO FREIRE,1236.9230769230769,2024
11018950-EEEFM PRESIDENTE EMILIO GARRASTAZU MEDICI,1273.3333333333333,2024
11019115-EEEFM CLAUDIO MANOEL DA COSTA,1011.4285714285716,2024
11019140-EEEFM COSTA JUNIOR,1278.8571428571429,2024
11019948-EEEFM MIGRANTES,1402.4999999999998,2024
11019956-INSTITUTO ADVENTISTA DA AMAZONIA OCIDENTAL,1415.757575757576,2024
11020326-EEEFM PRIMAVERA,1096.5517241379309,2024
11020504-EEEFM ALTAMIR BILLY SOARES,1278.2608695652173,2024
11021403-EEEFM TUBARAO,1233.9999999999998,2024
11022221-EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA,1430,2024
11022981-EEEFM PRINCESA ISABEL,1280,2024
11023678-EEEFM SANTA ANA,1259.9999999999998,2024
11024097-EEEFM OSWALDO PIANNA,1284.8275862068967,2024
11024437-EEEFM ARTUR DA COSTA E SILVA,1272,2024
11024682-EEEFM EURIDICE LOPES PEDROSO,1227.826086956522,2024
11024968-EEEMTI JUSCELINO KUBITSCHEK DE OLIVEIRA,1504,2024
11025638-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XI,1355.833333333333,2024
11025670-CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS,1438.5185185185185,2024
11025697-CEEJA AIDA FIBIGER DE OLIVEIRA,1032,2024
11026073-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM IX,1275.7142857142858,2024
11026197-EEEFM CARLOS DRUMMOND DE ANDRADE,1093.7931034482758,2024
11026278-EEEFM CORA CORALINA,1243.0107526881723,2024
11026324-ESCOLA DANIEL BERG,1615.4385964912281,2024
11027290-ESCOLA DE EDUCACAO BASICA E PROFISSIONAL ANTONIO SANCHEZ DE LARRAGOITI Y CURDUMI,1490.9677419354839,2024
11027312-EEEFM BERNARDO GUIMARAES,1267.3684210526314,2024
11027320-EEEFM CARLOS GOMES,1192.6315789473683,2024
11027347-EEEMTI CLODOALDO NUNES DE ALMEIDA,1311.4285714285711,2024
11027355-ESCOLA DE ENSINO FUNDAMENTAL E MEDIO FAMILIA AGRICOLA PE EZEQUIEL RAMIN,1025.7142857142856,2024
11027754-EEEFM JEAN PIAGET,1148.952380952381,2024
11028424-EEEMTI 7 DE SETEMBRO,1358.5185185185185,2024
11028750-EEEFM CARLOS DRUMOND DE ANDRADE,1298.9473684210527,2024
11029056-EEEFM JOSE ROSALES DOS SANTOS,1483.6363636363637,2024
11029110-EEEFM MARIA DO CARMO DE OLIVEIRA RABELO,1268,2024
11029307-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM VIII,1204.3243243243246,2024
11029439-EEEMTI CANDIDO PORTINARI,1410.9677419354837,2024
11029455-EEEFM CEL ALUIZIO PINHEIRO FERREIRA,1350.8771929824566,2024
11029480-EEEFM TANCREDO DE ALMEIDA NEVES,1341.666666666667,2024
11029951-EEEFM JUSCELINO KUBITSCHEK,1281.6666666666665,2024
11030003-EEEFM AMERICO BRASILIENSE DE ALMEIDA E MELO,1417.7777777777778,2024
11030216-ESCOLA FAMILIA AGRICOLA CHICO MENDES,1286,2024
11030372-EEEFM MARECHAL CANDIDO RONDON,1312,2024
11030666-EEEFM FRANCISCA JULIA DA SILVA,1036.3636363636365,2024
11031298-EEEFM NILO COELHO,1276.279069767442,2024
11031689-EEEFM BENEDITO LAURINDO GONCALVES,1214.1176470588234,2024
11031964-EEEFM FELIPE CAMARAO,1460.9523809523807,2024
11032189-EEEFM JOSE SEVERINO DOS SANTOS,1400,2024
11032260-EEEMTI MARECHAL CORDEIRO DE FARIAS,1332.121212121212,2024
11032510-EEEFM ORLANDO BUENO DA SILVA,1090.3703703703704,2024
11033070-EEEFM RAIMUNDO EUCLIDES BARBOSA,1182.3157894736842,2024
11033193-CEEJA VILHENA,932,2024
11033215-CENTRO EDUCACIONAL ISOLINA RUTTMANN - SESI,1448.8888888888889,2024
11033649-EEEFM MARIA ARLETE TOLEDO,1201.3333333333333,2024
11033738-COLEGIO SANTA LUCIA FILIPPINI,1520,2024
11033797-EEEFM ALVARES DE AZEVEDO,1242.1705426356586,2024
11033819-EEEM EM TEMPO INTEGRAL MARECHAL RONDON,1422.8571428571431,2024
11033835-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM V,1274.8717948717949,2024
