codigo_inep,ano,n_redacoes,media_c1,media_c2,media_c3,media_c4,media_c5
11000058,2024,90,142.44,178.0,151.78,166.0,156.0
11000198,2024,48,133.33,158.75,131.25,145.83,142.92
11000252,2024,17,129.41,157.65,132.94,145.88,151.76
11000260,2024,97,137.73,170.72,141.86,156.7,150.52
11000317,2024,10,100.0,122.0,94.0,106.0,68.0
11000350,2024,49,140.0,170.61,145.71,161.63,148.16
11000384,2024,31,115.48,134.84,106.45,118.71,87.74
11000457,2024,15,104.0,136.0,105.33,117.33,94.67
11000554,2024,16,116.25,138.75,122.5,133.75,120.0
11000678,2024,85,125.18,154.82,124.24,138.35,123.29
11000708,2024,73,114.79,142.74,110.68,129.59,113.15
11000856,2024,74,115.95,138.11,110.81,126.49,101.35
11000880,2024,68,143.82,175.0,150.29,163.53,161.47
11001046,2024,58,116.9,139.66,110.34,122.07,95.86
11001119,2024,53,114.34,141.89,112.83,121.51,110.94
11001135,2024,41,135.12,165.37,134.63,156.1,123.41
11001143,2024,16,110.0,138.75,108.75,123.75,85.0
11001283,2024,37,120.54,147.03,114.05,127.03,117.3
11001305,2024,33,113.94,147.88,112.73,129.7,107.27
11001410,2024,21,126.67,152.38,126.67,134.29,127.62
11001496,2024,35,112.0,130.29,101.71,113.14,86.29
11001550,2024,51,110.59,134.9,109.8,120.39,96.47
11001640,2024,172,123.49,154.07,126.05,143.6,128.84
11001887,2024,6,86.67,120.0,96.67,103.33,56.67
11002018,2024,78,123.33,151.28,120.0,138.21,120.77
11002123,2024,162,113.09,137.65,111.23,124.32,100.0
11002255,2024,4,110.0,110.0,110.0,120.0,80.0
11002468,2024,46,136.96,164.35,131.3,150.43,145.22
11002476,2024,36,111.11,128.89,102.78,114.44,73.33
11002484,2024,293,134.33,165.05,133.45,150.78,139.18
11002506,2024,55,113.09,144.36,113.82,128.36,120.0
11002514,2024,77,112.73,139.22,105.19,121.82,98.96
11002522,2024,156,115.77,146.03,116.15,131.03,109.36
11002549,2024,29,113.1,133.1,106.21,122.76,94.48
11003065,2024,206,119.71,148.93,121.17,133.2,112.82
11003081,2024,32,140.0,163.75,140.62,153.75,145.0
11003090,2024,38,134.74,174.21,141.58,158.42,154.74
11003413,2024,19,115.79,130.53,103.16,118.95,97.89
11003812,2024,8,105.0,122.5,105.0,97.5,92.5
11003839,2024,3,120.0,93.33,113.33,120.0,93.33
11003979,2024,47,112.34,134.89,108.51,117.02,86.38
11004274,2024,33,107.88,132.12,101.82,120.0,96.97
11004347,2024,25,108.8,132.8,101.6,105.6,100.0
11004428,2024,51,123.14,156.47,129.8,140.39,144.31
11005041,2024,63,108.89,133.97,105.71,117.46,89.52
11005360,2024,42,112.86,138.1,108.1,120.48,97.62
11005475,2024,83,122.41,153.49,119.76,136.14,130.6
11005823,2024,55,111.27,133.82,105.45,122.55,97.82
11005939,2024,72,121.39,142.5,118.33,131.39,115.28
11006013,2024,13,106.15,129.23,93.85,106.15,61.54
11006420,2024,5,100.0,120.0,100.0,112.0,84.0
11006617,2024,30,111.33,142.0,113.33,126.0,109.33
11006633,2024,47,108.94,129.36,108.51,121.28,83.4
11006641,2024,100,122.0,145.0,122.2,135.0,128.0
11006757,2024,7,108.57,122.86,105.71,114.29,91.43
11006773,2024,36,113.33,144.44,110.0,113.33,97.22
11006889,2024,90,117.33,141.78,110.89,125.56,110.89
11007168,2024,29,118.62,146.9,122.07,133.79,126.21
11007656,2024,35,145.71,174.86,148.0,165.71,156.57
11007885,2024,93,139.57,172.69,142.8,160.43,161.51
11007893,2024,207,128.12,158.74,129.57,145.31,140.0
11007982,2024,4,75.0,130.0,80.0,90.0,75.0
11008105,2024,32,131.88,163.75,130.0,145.62,150.62
11009080,2024,7,108.57,131.43,94.29,105.71,91.43
11009152,2024,75,110.4,140.53,110.4,120.27,93.87
11009306,2024,19,117.89,128.42,106.32,127.37,84.21
11009888,2024,49,110.2,139.59,107.35,120.0,91.84
11010290,2024,23,120.87,150.43,118.26,126.96,113.04
11010665,2024,73,120.27,143.01,116.44,130.96,124.11
11011491,2024,9,131.11,155.56,124.44,131.11,113.33
11011661,2024,32,120.0,148.75,117.5,128.12,124.38
11012145,2024,4,120.0,140.0,110.0,130.0,105.0
11012447,2024,24,119.17,140.0,113.33,119.17,110.0
11012579,2024,20,119.0,144.0,114.0,130.0,109.0
11012684,2024,37,118.92,145.41,113.51,127.03,112.43
11012994,2024,76,119.47,150.53,119.47,134.21,124.74
11013737,2024,36,136.11,160.0,136.67,151.67,145.0
11014156,2024,64,112.81,132.19,103.44,119.06,98.44
11014300,2024,27,103.7,132.59,100.0,105.93,84.44
11014431,2024,109,117.8,139.27,115.41,126.06,120.0
11015446,2024,6,103.33,120.0,96.67,106.67,86.67
11015500,2024,14,125.71,157.14,115.71,138.57,107.14
11015608,2024,34,126.47,155.29,126.47,148.24,144.71
11015616,2024,8,127.5,162.5,125.0,130.0,135.0
11015624,2024,97,123.71,148.66,122.27,137.11,130.1
11015632,2024,43,123.26,154.88,119.53,144.65,143.26
11015667,2024,35,118.29,138.86,122.86,136.57,117.71
11015683,2024,53,117.36,144.91,113.96,126.42,106.79
11015896,2024,42,131.9,171.9,140.48,150.95,139.52
11016094,2024,38,117.37,150.0,117.37,130.53,119.47
11016230,2024,7,91.43,120.0,94.29,102.86,51.43
11017120,2024,40,121.0,144.5,116.0,128.5,136.5
11017384,2024,31,117.42,139.35,114.19,126.45,121.29
11017422,2024,15,128.0,157.33,126.67,144.0,161.33
11017775,2024,38,128.42,160.53,125.79,142.11,141.05
11017791,2024,83,118.07,143.37,113.01,126.27,110.36
11017856,2024,5,96.0,104.0,100.0,100.0,52.0
11018089,2024,59,122.37,155.25,125.76,144.75,140.0
11018216,2024,1,120.0,80.0,100.0,120.0,60.0
11018267,2024,17,103.53,135.29,107.06,120.0,105.88
11018810,2024,30,118.0,134.67,111.33,126.0,110.67
11018950,2024,18,113.33,146.67,116.67,134.44,125.56
11019115,2024,15,109.33,121.33,100.0,104.0,76.0
11019140,2024,36,120.0,147.22,116.67,127.22,124.44
11019948,2024,33,130.3,159.39,126.06,140.61,142.42
11019956,2024,35,132.0,154.86,130.29,142.29,141.71
11020326,2024,30,111.33,129.33,100.67,109.33,90.0
11020504,2024,48,120.42,147.08,116.25,140.83,115.42
11021403,2024,40,111.5,143.5,114.5,128.5,119.0
11022221,2024,77,131.69,158.18,131.43,148.57,145.19
11022981,2024,92,119.13,139.78,118.04,135.22,125.0
11023678,2024,79,118.23,141.27,116.2,129.87,122.78
11024097,2024,63,119.37,146.98,116.51,126.67,125.71
11024437,2024,64,120.94,141.88,115.31,124.69,133.75
11024682,2024,48,112.08,136.67,108.75,128.33,115.83
11024968,2024,35,134.86,166.29,133.14,154.86,162.86
11025638,2024,48,124.17,152.08,120.0,137.08,144.58
11025670,2024,28,130.71,164.29,136.43,145.0,135.71
11025697,2024,13,106.15,123.08,93.85,103.08,69.23
11026014,2024,7,100.0,125.71,88.57,117.14,94.29
11026073,2024,32,121.25,145.0,113.12,131.25,108.12
11026197,2024,30,108.67,134.0,100.67,114.0,92.0
11026278,2024,99,117.78,142.02,117.58,125.05,114.95
11026324,2024,57,143.16,180.35,148.77,165.61,169.82
