area,habilidade,descricao,tri_score,area_code,tri_range,conceitos_cientificos,campos_semanticos,campos_lexicais,processos_fenomenos,contextos_historicos,habilidades_compostas,all_entities
Linguagens,H1,"Tecnologia da comunicação, comparando o papiro romano às redes sociais atuais.",483.5,LC,450-550,,Tecnologia da comunicação,Tecnologia da comunicação,,papiro romano,,"Tecnologia da comunicação, Tecnologia da comunicação, papiro romano"
Linguagens,H1,"Gênero textual redação escolar, sobre a Bandeira Nacional, como veículo de valores patrióticos.",504.9,LC,450-550,,"redação escolar, Bandeira Nacional, valores patrióticos",,,,,"redação escolar, Bandeira Nacional, valores patrióticos"
Linguagens,H1,"Gênero crônica, com caráter irônico e malicioso sobre a convivência entre vizinhos.",507.4,LC,450-550,,,,,,,
Linguagens,H1,"Gênero crônica, com efeito de humor construído pela articulação de eventos absurdos.",522.8,LC,450-550,,,,articulação de eventos absurdos,,,articulação de eventos absurdos
Linguagens,H1,"Gênero notícia, com estratégia de alarme pelo uso de formulações hipotéticas.",523.1,LC,450-550,,,,,,,
Linguagens,H1,"Gênero textual ladainha, identificado na canção pela sequência textual injuntiva.",576.8,LC,550-650,,,,,,,
Linguagens,H1,"Gênero notícia, sobre um caso da ""síndrome do coração partido"".",581.2,LC,550-650,,,,,,,
Linguagens,H1,"Gênero discurso de homenagem (Rui Barbosa para Machado de Assis), uso de metáforas.",590.7,LC,550-650,,,,,Machado de Assis,,Machado de Assis
Linguagens,H1,"Gênero textual ""inventário"", recurso linguístico da enumeração de objetos e fatos.",596.4,LC,550-650,,,,,,,
Linguagens,H1,"Charge, humor provocado pela polissemia da expressão ""rede social"".",612.6,LC,550-650,,rede social,rede social,,,,"rede social, rede social"
Linguagens,H1,"Gênero diário em letra de canção, caracterizado pela narrativa autorreflexiva.",612.8,LC,550-650,,,,,,,
Linguagens,H1,"Gênero texto teatral, caracterizado pelo uso de rubricas na construção da ação.",627.6,LC,550-650,,,,,,,
Linguagens,H1,"Gênero biografia, constituída pelo relato de eventos da vida em perspectiva histórica.",641.2,LC,550-650,,,,,,,
Linguagens,H1,"Gênero resenha, caracterizada pela apresentação de uma produção intelectual de forma crítica.",642.8,LC,550-650,,,,,,,
Linguagens,H1,"Gênero aforismo (máxima), caracterizado pela exposição de uma ideia em poucas palavras.",645.4,LC,550-650,,,,,,,
Linguagens,H1,"Gênero resenha, com predominância de opiniões sobre uma obra (livro sobre festival de 1967).",652.0,LC,650-750,,,,,festival de 1967,,festival de 1967
