inep_nome,desempenho_habilidades,ano
11000058-CENTRO DE ENSINO CLASSE A,0.53430904022301862,2024
11000198-COLEGIO SAPIENS - UNIDADE JARDIM DAS MANGUEIRAS,0.39819876131646886,2024
11000252-COLEGIO SAPIENS - UNIDADE JARDIM AMERICA,0.48391049968374444,2024
11000260-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM I,0.42819220430107524,2024
11000350-COLEGIO ADVENTISTA DE PORTO VELHO,0.44686468355027359,2024
11000384-EEEFM 4 DE JANEIRO,0.29662086199603738,2024
11000457-EEEFM PROFESSORA ANTONIA VIEIRA FROTA,0.28494623655913981,2024
11000554-EEEFM BANDEIRANTES,0.34440998070030332,2024
11000678-EEEMTI BRASILIA,0.35070180837035392,2024
11000708-EEEFM CAP CLAUDIO MANOEL DA COSTA,0.27064238777948452,2024
11000856-EEEFM PROFESSOR DANIEL NERI DA SILVA - CIVICO-MILITAR,0.27573064358705512,2024
11000880-CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO,0.43858555282784939,2024
11001046-EEEFM ESTUDO E TRABALHO,0.28899194229281738,2024
11001119-EEEFM GOV ARAUJO LIMA,0.30741355682057769,2024
11001135-COLEGIO MILITAR DOM PEDRO II - CMDP II - UNIDADE I,0.28517195832240588,2024
11001143-EEEFM GOV JESUS BURLAMAQUI HOSANNAH,0.26636119257087,2024
11001283-EEEFM JOHN KENNEDY,0.33432401742677054,2024
11001305-EEEFM JORGE TEIXEIRA DE OLIVEIRA,0.29389575478285157,2024
11001410-COLEGIO TIRADENTES DA POLICIA MILITAR CTPM VII,0.29453577336641851,2024
11001496-EEEFM MARCOS DE BARROS FREIRE,0.29742063492063503,2024
11001550-EEEFM MARIANA,0.28365815412186379,2024
11001640-EEEFM MURILO BRAGA,0.33542401978506681,2024
11002018-EEEFM PROF FLORA CALHEIROS COTRIN,0.2814864782925055,2024
11002123-EEEFM RISOLETA NEVES,0.2843911755825338,2024
11002468-EEEFM BARAO DO SOLIMOES,0.3548342825166107,2024
11002476-EEEFM GETULIO VARGAS - CIVICO-MILITAR,0.28651433691756278,2024
11002484-EEEM MAJOR GUAPINDAIA,0.37408276529048134,2024
11002506-EEEFM MARECHAL CASTELO BRANCO,0.29505376344086021,2024
11002514-EEEFM PROF ORLANDO FREIRE,0.30198994553833264,2024
11002522-EEEFM PROF EDUARDO LIMA E SILVA,0.31035406163784351,2024
11002549-EEEFM RIO BRANCO,0.28747582067474536,2024
11003065-IEE CARMELA DUTRA,0.31682429764137915,2024
11003081-INSTITUTO LAURA VICUNA,0.44809113937138129,2024
11003090-INSTITUTO MARIA AUXILIADORA,0.40949091938056281,2024
11003413-EEEFM GENERAL OSORIO,0.27385005973715648,2024
11003979-EEEFM CASIMIRO DE ABREU,0.263127145121381,2024
11004274-EEEFM PROFESSOR SALOMAO SILVA,0.27812564619520269,2024
11004347-EEEFM 15 DE OUTUBRO,0.33107345414728973,2024
11004428-EEEFM BURITI,0.34464381330161231,2024
11005041-EEEFM CARLOS DRUMMOND DE ANDRADE,0.29605856065110747,2024
11005360-EEEFM PAULO FREIRE,0.30917611159546643,2024
11005475-EEEFM CAMPOS SALES,0.32926499002475235,2024
11005823-EEEFM ANGELINA DOS ANJOS,0.2809205671515918,2024
11005939-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM X,0.32412954429083457,2024
11006013-CEEJA DR CLAUDIO FIALHO,0.23118686868686869,2024
11006617-EEEFM IRMA MARIA CELESTE - CIVICO-MILITAR,0.28448128235762643,2024
11006633-EEEFM ROCHA LEAL,0.25276296570050855,2024
11006641-EEEMTI SIMON BOLIVAR,0.31030767145567906,2024
11006773-EEEFM CORA CORALINA,0.28640120967741939,2024
11006889-EEEFM ANISIO TEIXEIRA,0.30909568708070018,2024
11007168-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM III,0.31460530397022335,2024
11007656-COLEGIO DINAMICO EDUCACAO BASICA,0.52220174670364428,2024
